location,Death Valley National Park,Death Valley National Park,Death Valley National Park,Death Valley National Park
lat,36.11240,36.11240,36.11240,36.11240
lon,-117.33333,-117.33333,-117.33333,-117.33333
asl,1147.952,1147.952,1147.952,1147.952
variable,Temperature,Temperature,Temperature,Precipitation Total
unit,°C,°C,°C,mm
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc
resolution,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation
timestamp,Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Temperature [2 m elevation corrected],Death Valley National Park Precipitation Total
20191018T0000,15.31119,8.631189,11.91994,0.0
20191019T0000,16.25119,6.9811897,11.957856,0.0
20191020T0000,16.58119,8.621189,13.054524,0.0
20191021T0000,21.30119,6.3011894,13.919522,0.0
20191022T0000,20.91119,6.15119,14.803272,0.0
20191023T0000,20.31119,7.0211897,14.945775,0.0
20191024T0000,17.701189,7.0611897,12.66869,0.0
20191025T0000,20.39119,7.1011896,13.472857,0.0
20191026T0000,19.23119,8.78119,14.505357,0.0
20191027T0000,16.08119,3.0911894,7.761606,0.0
20191028T0000,8.15119,-2.5788105,3.0078564,0.0
20191029T0000,10.301189,-1.5588105,4.4436893,0.0
20191030T0000,4.15119,-4.8688107,-0.02464374,0.0
20191031T0000,9.77119,-3.9788103,2.7691066,0.0
20191101T0000,14.98119,-0.56881046,7.0407734,0.0
20191102T0000,16.40119,2.7211895,9.807857,0.0
20191103T0000,18.79119,2.7211895,10.600355,0.0
20191104T0000,19.43119,5.2611895,11.597856,0.0
20191105T0000,19.42119,3.45119,11.89619,0.0
20191106T0000,19.38119,4.871189,11.906189,0.0
20191107T0000,18.88119,4.7111893,11.978274,0.0
20191108T0000,19.38119,3.45119,11.821189,0.0
20191109T0000,19.451189,4.11119,11.842023,0.0
20191110T0000,18.76119,3.8111897,11.512856,0.0
20191111T0000,18.611189,7.251189,13.001189,0.0
20191112T0000,18.34119,5.61119,11.950355,0.0
20191113T0000,16.06119,6.24119,11.166188,0.0
20191114T0000,15.131189,6.95119,10.977857,0.0
20191115T0000,15.691189,7.1711893,11.329106,0.0
20191116T0000,17.00119,5.8911896,11.478688,0.0
20191117T0000,17.97119,6.4311895,12.352024,0.0
20191118T0000,17.99119,5.65119,12.012023,0.0
20191119T0000,17.74119,7.7311897,11.566192,0.0
20191120T0000,7.1811895,1.9511895,4.0320225,0.3
20191121T0000,5.4311895,-0.3488102,2.283273,0.0
20191122T0000,8.15119,-1.7788105,3.1182728,0.0
20191123T0000,9.171189,-0.67881036,4.20744,0.0
20191124T0000,11.801189,0.38118935,5.6936893,0.0
20191125T0000,8.251189,0.10118961,4.2157726,0.0
20191126T0000,2.1311893,-3.8388104,-0.14922696,0.0
20191127T0000,1.3111897,-3.9388103,-1.4663104,7.1
20191128T0000,-2.9888105,-6.8988104,-5.357977,12.0
20191129T0000,-2.7588105,-8.72881,-5.3050604,0.2
20191130T0000,-1.7888105,-12.658811,-6.0833936,0.0
20191201T0000,1.0811896,-4.3788104,-2.3125603,0.0
20191202T0000,5.331189,-4.5288105,-0.059643526,0.0
20191203T0000,3.6311893,-1.6188104,1.3370229,0.0
20191204T0000,3.95119,-0.6388104,1.1407729,8.400001
20191205T0000,5.3011894,-2.2388105,1.7124397,0.0
20191206T0000,6.0611897,-1.2088103,2.764106,0.0
20191207T0000,7.5211897,2.0711894,4.799106,0.0
20191208T0000,7.6411896,3.0511894,4.9124393,1.1
20191209T0000,8.07119,-0.56881046,3.2895231,0.0
20191210T0000,5.70119,-1.8488104,2.0561895,0.0
20191211T0000,6.78119,-1.3488104,2.6703565,0.3
20191212T0000,8.801189,0.8711896,4.4241066,0.0
20191213T0000,10.341189,1.5511894,5.62744,0.0
20191214T0000,8.81119,1.9211898,5.141606,2.4
20191215T0000,6.121189,-1.8988104,1.9370227,0.0
20191216T0000,2.1411896,-5.1788106,-1.3513104,0.0
20191217T0000,2.4111896,-6.5888104,-1.8896438,0.0
20191218T0000,2.0911894,-4.30881,-1.2950608,0.0
20191219T0000,6.3511896,-5.5388103,-0.36922705,0.0
20191220T0000,7.3011894,-2.5288105,2.2774394,0.0
20191221T0000,7.74119,1.3411894,4.2461896,0.0
20191222T0000,8.32119,2.1011896,5.015773,0.0
20191223T0000,4.32119,-2.6088104,-0.35756037,7.7999988
20191224T0000,2.4011898,-3.7088103,-0.6425605,0.1
20191225T0000,1.5011897,-1.6988103,-0.16172718,0.0
20191226T0000,0.5011897,-6.1488104,-3.1425602,11.599999
20191227T0000,2.4111896,-5.9188104,-1.6050606,0.0
20191228T0000,3.3511896,-6.2188106,-1.6617274,0.0
20191229T0000,2.0211897,-4.5688105,-1.2025603,0.0
20191230T0000,4.5911894,-4.0488105,0.16577305,0.0
20191231T0000,6.78119,-2.2588105,1.4966063,0.0
