Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
5/15/2017,47.47,14441.29
5/16/2017,7.79,14449.08
5/17/2017,8.21,14457.29
5/18/2017,12.46,14469.75
5/19/2017,9.46,14479.21
5/20/2017,13.89,14493.1
5/21/2017,27.49,14520.59
5/22/2017,29.2,14549.79
5/23/2017,25.01,14574.8
5/24/2017,20.35,14595.15
5/25/2017,24.27,14619.42
5/26/2017,25.34,14644.76
5/27/2017,20.18,14664.94
5/28/2017,16.01,14680.95
5/29/2017,14.86,14695.81
5/30/2017,16.46,14712.27
5/31/2017,17.82,14730.09
6/1/2017,130.52,14860.61
6/2/2017,12.29,14872.9
6/3/2017,1.78,14874.68
6/4/2017,2.35,14877.03
6/5/2017,4.33,14881.36
6/6/2017,11.8,14893.16
6/7/2017,15.92,14909.08
6/8/2017,23.84,14932.92
6/9/2017,20.88,14953.8
6/10/2017,16.26,14970.06
6/11/2017,7.71,14977.77
6/12/2017,9.28,14987.05
6/13/2017,8.99,14996.04
6/14/2017,11.18,15007.22
6/15/2017,11.95,15019.17
6/16/2017,12.51,15031.68
6/17/2017,12.09,15043.77
6/18/2017,10,15053.77
6/19/2017,11.77,15065.54
6/20/2017,11.64,15077.18
6/21/2017,11.46,15088.64
6/22/2017,11.28,15099.92
6/23/2017,10.72,15110.64
6/24/2017,10.86,15121.5
6/25/2017,13.13,15134.63
6/26/2017,11.75,15146.38
6/27/2017,18.9,15165.28
6/28/2017,17.08,15182.36
6/29/2017,13.33,15195.69
6/30/2017,9.72,15205.41
7/1/2017,11.31,15216.72
7/2/2017,10.82,15227.54
7/3/2017,13.37,15240.91
7/4/2017,11.99,15252.9
7/5/2017,10.86,15263.76
7/6/2017,10.28,15274.04
7/7/2017,14.82,15288.86
7/8/2017,15.78,15304.64
7/9/2017,16.37,15321.01
7/10/2017,16.24,15337.25
7/11/2017,16.48,15353.73
7/12/2017,9.39,15363.12
7/13/2017,0.66,15363.78
7/14/2017,1.06,15364.84
7/15/2017,5.66,15370.5
7/16/2017,9.18,15379.68
7/17/2017,9.28,15388.96
7/18/2017,9.11,15398.07
7/19/2017,8.75,15406.82
7/20/2017,9.35,15416.17
7/21/2017,9.39,15425.56
7/22/2017,10.27,15435.83
7/23/2017,12.3,15448.13
7/24/2017,17.24,15465.37
7/25/2017,26.51,15491.88
7/26/2017,14.23,15506.11
7/27/2017,14.01,15520.12
7/28/2017,14.8,15534.92
7/29/2017,13.16,15548.08
7/30/2017,10.43,15558.51
7/31/2017,9.04,15567.55
8/1/2017,10.93,15578.48
8/2/2017,11.21,15589.69
8/3/2017,8.43,15598.12
8/4/2017,10.08,15608.2
8/5/2017,9.59,15617.79
8/6/2017,10.34,15628.13
8/7/2017,10.97,15639.1
8/8/2017,11.06,15650.16
8/9/2017,11.47,15661.63
8/10/2017,13.83,15675.46
8/11/2017,29.04,15704.5
8/12/2017,9.8,15714.3
8/13/2017,13.58,15727.88
8/14/2017,28.08,15755.96
8/15/2017,22.75,15778.71
8/16/2017,11.8,15790.51
8/17/2017,8.01,15798.52
8/18/2017,6.89,15805.41
8/19/2017,6.59,15812
8/20/2017,7.02,15819.02
8/21/2017,7.41,15826.43
8/22/2017,7.66,15834.09
8/23/2017,7.83,15841.92
8/24/2017,10.84,15852.76
8/25/2017,11.49,15864.25
8/26/2017,11.66,15875.91
8/27/2017,10.29,15886.2
8/28/2017,11.79,15897.99
8/29/2017,14.71,15912.7
8/30/2017,14.37,15927.07
8/31/2017,12.59,15939.66
9/1/2017,15.21,15954.87
9/2/2017,19.19,15974.06
9/3/2017,12.61,15986.67
9/4/2017,10.07,15996.74
9/5/2017,9.86,16006.6
9/6/2017,12.45,16019.05
9/7/2017,19.62,16038.67
9/8/2017,16.51,16055.18
9/9/2017,26.48,16081.66
9/10/2017,28.79,16110.45
9/11/2017,12.04,16122.49
9/12/2017,13.64,16136.13
9/13/2017,14.63,16150.76
9/14/2017,11.02,16161.78
9/15/2017,13.6,16175.38
9/16/2017,14.38,16189.76
9/17/2017,11.31,16201.07
9/18/2017,13.91,16214.98
9/19/2017,20.9,16235.88
9/20/2017,12.18,16248.06
9/21/2017,13.01,16261.07
9/22/2017,26.79,16287.86
9/23/2017,18.4,16306.26
9/24/2017,7.6,16313.86
9/25/2017,7.78,16321.64
9/26/2017,9.11,16330.75
9/27/2017,13.25,16344
9/28/2017,11.73,16355.73
9/29/2017,34.06,16389.79
9/30/2017,25.34,16415.13
10/1/2017,24.85,16439.98
10/2/2017,21.94,16461.92
10/3/2017,16.61,16478.53
10/4/2017,17.18,16495.71
10/5/2017,9.3,16505.01
10/6/2017,11.67,16516.68
10/7/2017,8.59,16525.27
10/8/2017,6.26,16531.53
10/9/2017,7.57,16539.1
10/10/2017,8.96,16548.06
10/11/2017,7.1,16555.16
10/12/2017,9.63,16564.79
10/13/2017,26.81,16591.6
10/14/2017,30.34,16621.94
10/15/2017,11.27,16633.21
10/16/2017,9.05,16642.26
10/17/2017,24.16,16666.42
10/18/2017,24.92,16691.34
10/19/2017,23.38,16714.72
10/20/2017,14.42,16729.14
10/21/2017,17.63,16746.77
10/22/2017,12.58,16759.35
10/23/2017,8.73,16768.08
10/24/2017,14.23,16782.31
10/25/2017,19.05,16801.36
10/26/2017,13.73,16815.09
10/27/2017,13.76,16828.85
10/28/2017,15.33,16844.18
10/29/2017,11.43,16855.61
10/30/2017,11.22,16866.83
10/31/2017,10.4,16877.23
11/1/2017,10.84,16888.07
11/2/2017,13.61,16901.68
11/3/2017,13.07,16914.75
11/4/2017,12.08,16926.83
11/5/2017,13.81,16940.64
11/6/2017,13.29,16953.93
11/7/2017,11.42,16965.35
11/8/2017,9.68,16975.03
11/9/2017,7.97,16983
11/10/2017,8.97,16991.97
11/11/2017,7.89,16999.86
11/12/2017,7.63,17007.49
11/13/2017,8.36,17015.85
11/14/2017,8.68,17024.53
11/15/2017,8.29,17032.82
11/16/2017,8.36,17041.18
11/17/2017,7.9,17049.08
11/18/2017,8.09,17057.17
11/19/2017,9.14,17066.31
11/20/2017,7.26,17073.57
11/21/2017,7.15,17080.72
11/22/2017,8.59,17089.31
11/23/2017,8.47,17097.78
11/24/2017,8.25,17106.03
11/25/2017,8.57,17114.6
11/26/2017,8.68,17123.28
11/27/2017,9.44,17132.72
11/28/2017,8.94,17141.66
11/29/2017,6.86,17148.52
11/30/2017,8.02,17156.54
12/1/2017,8.55,17165.09
12/2/2017,8.36,17173.45
12/3/2017,8.18,17181.63
12/4/2017,7.81,17189.44
12/5/2017,7.97,17197.41
12/6/2017,8.06,17205.47
12/7/2017,7.09,17212.56
12/8/2017,6.79,17219.35
12/9/2017,0.61,17219.96
12/10/2017,1.27,17221.23
12/11/2017,2.21,17223.44
12/12/2017,4.55,17227.99
12/13/2017,3.18,17231.17
12/14/2017,4.57,17235.74
12/15/2017,5.94,17241.68
12/16/2017,6.69,17248.37
12/17/2017,7.01,17255.38
12/18/2017,6.73,17262.11
12/19/2017,7.27,17269.38
12/20/2017,6.81,17276.19
12/21/2017,11.06,17287.25
12/22/2017,9.53,17296.78
12/23/2017,8.01,17304.79
12/24/2017,11.76,17316.55
12/25/2017,12.2,17328.75
12/26/2017,12.81,17341.56
12/27/2017,12.24,17353.8
12/28/2017,11.73,17365.53
12/29/2017,12.75,17378.28
12/30/2017,13.57,17391.85
12/31/2017,15.07,17406.92
1/1/2018,16.67,17423.59
1/2/2018,16.22,17439.81
1/3/2018,12.65,17452.46
1/4/2018,17.25,17469.71
1/5/2018,19.42,17489.13
1/6/2018,20.7,17509.83
1/7/2018,21.27,17531.1
1/8/2018,8.81,17539.91
1/9/2018,7.9,17547.81
1/10/2018,11.02,17558.83
1/11/2018,10.16,17568.99
1/12/2018,8.08,17577.07
1/13/2018,14.09,17591.16
1/14/2018,15.22,17606.38
1/15/2018,18.65,17625.03
1/16/2018,13.92,17638.95
1/17/2018,17.66,17656.61
1/18/2018,15.24,17671.85
1/19/2018,7.82,17679.67
1/20/2018,6.43,17686.1
1/21/2018,5.59,17691.69
1/22/2018,4.43,17696.12
1/23/2018,7.16,17703.28
1/24/2018,5.59,17708.87
1/25/2018,6.74,17715.61
1/26/2018,6.11,17721.72
1/27/2018,6.06,17727.78
1/28/2018,5.02,17732.8
1/29/2018,8.37,17741.17
1/30/2018,7.89,17749.06
1/31/2018,8.7,17757.76
2/1/2018,4.64,17762.4
2/2/2018,9.49,17771.89
2/3/2018,7.71,17779.6
2/4/2018,6.3,17785.9
2/5/2018,11.93,17797.83
2/6/2018,10,17807.83
2/7/2018,10.6,17818.43
2/8/2018,13.1,17831.53
2/9/2018,7.11,17838.64
2/10/2018,8.52,17847.16
2/11/2018,6.34,17853.5
2/12/2018,10.78,17864.28
2/13/2018,10.38,17874.66
2/14/2018,6.25,17880.91
2/15/2018,7.16,17888.07
2/16/2018,5.59,17893.66
2/17/2018,15.1,17908.76
2/18/2018,12.96,17921.72
2/19/2018,12.46,17934.18
2/20/2018,6.28,17940.46
2/21/2018,2.08,17942.54
2/22/2018,6.84,17949.38
2/23/2018,7.35,17956.73
2/24/2018,3.97,17960.7
2/25/2018,3.11,17963.81
2/26/2018,9.32,17973.13
2/27/2018,8.87,17982
2/28/2018,6.85,17988.85
3/1/2018,8.82,17997.67
3/2/2018,0,17997.67
3/3/2018,0,17997.67
3/4/2018,0,17997.67
3/5/2018,8.92,18006.59
3/6/2018,3.66,18010.25
3/7/2018,3.77,18014.02
3/8/2018,16.9,18030.92
3/9/2018,2.83,18033.75
3/10/2018,5.22,18038.97
3/11/2018,5.8,18044.77
3/12/2018,6.28,18051.05
3/13/2018,2.91,18053.96
3/14/2018,3.26,18057.22
3/15/2018,4.67,18061.89
3/16/2018,9.23,18071.12
