Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
7/20/2017,3078.06,1621.776901
7/21/2017,3131.44,1624.908341
7/22/2017,3160.56,1628.068901
7/23/2017,3186.69,1631.255591
7/24/2017,3537.56,1634.793151
7/25/2017,4300.69,1639.093841
7/26/2017,3450.06,1642.543901
7/27/2017,3605.38,1646.149281
7/28/2017,3498.44,1649.647721
7/29/2017,3286.94,1652.934661
7/30/2017,3231.38,1656.166041
7/31/2017,3069.44,1659.235481
8/1/2017,3213.25,1662.448731
8/2/2017,3263.88,1665.712611
8/3/2017,3012.31,1668.724921
8/4/2017,3184.69,1671.909611
8/5/2017,3132.06,1675.041671
8/6/2017,3175,1678.216671
8/7/2017,3125.88,1681.342551
8/8/2017,3189.13,1684.531681
8/9/2017,3241,1687.772681
8/10/2017,3363.31,1691.135991
8/11/2017,4441.44,1695.577431
8/12/2017,3279.5,1698.856931
8/13/2017,3456.31,1702.313241
8/14/2017,4938,1707.251241
8/15/2017,4914,1712.165241
8/16/2017,4349.06,1716.514301
8/17/2017,3421.13,1719.935431
8/18/2017,3143.63,1723.079061
8/19/2017,3144.38,1726.223441
8/20/2017,3109.06,1729.332501
8/21/2017,3162,1732.494501
8/22/2017,3240.25,1735.734751
8/23/2017,3214.19,1738.948941
8/24/2017,3430.94,1742.379881
8/25/2017,3487.44,1745.867321
8/26/2017,3448.56,1749.315881
8/27/2017,3327.25,1752.643131
8/28/2017,3371.75,1756.014881
8/29/2017,3576.13,1759.591011
8/30/2017,3598.44,1763.189451
8/31/2017,3405.38,1766.594831
9/1/2017,3547.31,1770.142141
9/2/2017,4058.25,1774.200391
9/3/2017,3492.19,1777.692581
9/4/2017,3316.06,1781.008641
9/5/2017,3287.19,1784.295831
9/6/2017,3475.13,1787.770961
9/7/2017,3791.31,1791.562271
9/8/2017,3980.38,1795.542651
9/9/2017,4771.31,1800.313961
9/10/2017,5278.56,1805.592521
9/11/2017,3982.38,1809.574901
9/12/2017,3940.88,1813.515781
9/13/2017,3802.06,1817.317841
9/14/2017,3659.5,1820.977341
9/15/2017,3803.81,1824.781151
9/16/2017,3806.88,1828.588031
9/17/2017,3516.56,1832.104591
9/18/2017,3756.19,1835.860781
9/19/2017,4005.5,1839.866281
9/20/2017,3719.81,1843.586091
9/21/2017,3655,1847.241091
9/22/2017,4911.75,1852.152841
9/23/2017,4333.94,1856.486781
9/24/2017,3325.94,1859.812721
9/25/2017,3316.44,1863.129161
9/26/2017,3450.19,1866.579351
9/27/2017,3678.56,1870.257911
9/28/2017,3907.38,1874.165291
9/29/2017,5352.75,1879.518041
9/30/2017,5108.31,1884.626351
10/1/2017,5162.56,1889.788911
10/2/2017,4967.06,1894.755971
10/3/2017,4500.31,1899.256281
10/4/2017,4541.69,1903.797971
10/5/2017,3697.13,1907.495101
10/6/2017,3996.56,1911.491661
10/7/2017,3550.13,1915.041791
10/8/2017,3284.94,1918.326731
10/9/2017,3420.25,1921.746981
10/10/2017,3464.88,1925.211861
10/11/2017,3491.81,1928.703671
10/12/2017,3620.88,1932.324551
10/13/2017,4931.5,1937.256051
10/14/2017,5216.63,1942.472681
10/15/2017,3758.75,1946.231431
10/16/2017,3733.69,1949.965121
10/17/2017,5124.38,1955.089501
10/18/2017,5123,1960.212501
10/19/2017,5036.06,1965.248561
10/20/2017,4533.38,1969.781941
10/21/2017,4655.63,1974.437571
10/22/2017,4084.81,1978.522381
10/23/2017,3512.88,1982.035261
10/24/2017,4382,1986.417261
10/25/2017,4940.56,1991.357821
10/26/2017,4950.23,1996.308051
10/27/2017,4896.5,2001.204551
10/28/2017,4794.11,2005.998661
10/29/2017,4817.07,2010.815731
10/30/2017,4812.7,2015.628431
10/31/2017,4744.04,2020.372471
11/1/2017,4682.35,2025.054821
11/2/2017,4707.7,2029.762521
11/3/2017,4679.25,2034.441771
11/4/2017,4667.42,2039.109191
11/5/2017,4629.56,2043.738751
11/6/2017,4231.79,2047.970541
11/7/2017,4653.27,2052.623811
11/8/2017,4628.75,2057.252561
11/9/2017,4564.87,2061.817431
11/10/2017,4541.47,2066.358901
11/11/2017,4541.64,2070.900541
11/12/2017,4512.17,2075.412711
11/13/2017,4484.01,2079.896721
11/14/2017,4463.41,2084.360131
11/15/2017,4451.33,2088.811461
11/16/2017,4434.66,2093.246121
11/17/2017,4414.43,2097.660551
11/18/2017,4402.23,2102.062781
11/19/2017,4385.09,2106.447871
11/20/2017,4397.34,2110.845211
11/21/2017,4356.2,2115.201411
11/22/2017,4334.03,2119.535441
11/23/2017,4324.72,2123.860161
11/24/2017,4309.71,2128.169871
11/25/2017,5010.38,2133.180251
11/26/2017,3560.88,2136.741131
11/27/2017,4275.84,2141.016971
11/28/2017,4193.59,2145.210561
11/29/2017,4078.48,2149.289041
11/30/2017,4219.31,2153.508351
12/1/2017,4266.19,2157.774541
12/2/2017,4261.77,2162.036311
12/3/2017,4246.58,2166.282891
12/4/2017,4230.59,2170.513481
12/5/2017,4217.72,2174.731201
12/6/2017,4210.03,2178.941231
12/7/2017,4202.23,2183.143461
12/8/2017,4188.39,2187.331851
12/9/2017,1712.58,2189.044431
12/10/2017,2827.95,2191.872381
12/11/2017,3342.84,2195.215221
12/12/2017,4653.5,2199.868721
12/13/2017,2772.88,2202.641601
12/14/2017,4693.73,2207.335331
12/15/2017,4337.14,2211.672471
12/16/2017,3406.63,2215.079101
12/17/2017,4199.08,2219.278181
12/18/2017,4168.89,2223.447071
12/19/2017,4153.64,2227.600711
12/20/2017,4140.75,2231.741461
12/21/2017,4128.52,2235.869981
12/22/2017,4112.41,2239.982391
12/23/2017,4098.44,2244.080831
12/24/2017,4091.7,2248.172531
12/25/2017,4085.06,2252.257591
12/26/2017,4074.88,2256.332471
12/27/2017,4064.22,2260.396691
12/28/2017,4048.47,2264.445161
12/29/2017,4030.47,2268.475631
12/30/2017,4016.25,2272.491881
12/31/2017,4006.63,2276.498511
1/1/2018,3998.5,2280.497011
1/2/2018,3979.03,2284.476041
1/3/2018,3826.09,2288.302131
1/4/2018,4000.38,2292.302511
1/5/2018,4082.78,2296.385291
1/6/2018,4093.94,2300.479231
1/7/2018,4074.81,2304.554041
1/8/2018,3969.22,2308.523261
1/9/2018,3952.5,2312.475761
1/10/2018,3948.28,2316.424041
1/11/2018,3943.31,2320.367351
1/12/2018,3892.16,2324.259511
1/13/2018,3928.53,2328.188041
1/14/2018,3930.97,2332.119011
1/15/2018,3941.97,2336.060981
1/16/2018,3652.78,2339.713761
